"VECTORS","AES-EBC","AES-CBC","RSA_OAEP"
,8.34000000082824e-05,9.00999999942087e-05,0.005229499999998666
,1.7399999990175274e-05,2.189999999302472e-05,0.005483599999990929
,1.770000000078653e-05,2.320000000111122e-05,0.004960200000013515
3847acdb384756123847acdb38475612,1.699999999971169e-05,2.200000000129876e-05,0.005199500000003354
3847acdb384756123847acdb38475612,1.740000000438613e-05,2.13999999942871e-05,0.00503439999999955
3847acdb384756123847acdb38475612,1.6400000006910886e-05,2.1400000008497955e-05,0.004871699999995371
12823734736323642acd834753464bfedc8247563adbca834756246cbcbfeaccd34343,1.670000000331129e-05,2.1200000006160735e-05,0.00488719999999887
12823734736323642acd834753464bfedc8247563adbca834756246cbcbfeaccd34343,5.240000000128475e-05,4.069999999956053e-05,0.004878300000001445
12823734736323642acd834753464bfedc8247563adbca834756246cbcbfeaccd34343,1.6899999991437653e-05,2.1900000007235576e-05,0.004770399999998176
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,1.679999999737447e-05,2.179999999896154e-05,0.005185100000005605
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,1.679999999737447e-05,2.2600000008310417e-05,0.004949999999993793
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,1.679999999737447e-05,2.2599999994099562e-05,0.00503410000000315
